w_id,user_id,trainer_id,o_distance,o_time,o_pace,d_distance_sum,d_distance_std,d_distance_var,d_time_sum,d_time_std,d_time_var,d_pace_mean,d_pace_std,d_pace_var,r_distance,r_speed,r_time,r_pace,p_running,p_walking,p_unknown,p_welldone,p_has_objective,age,height,weight,gender,bmi,weight_situation,calories,workout_date,mean_rating,rating,month,weekday,weeknumber,year,days_from_previous,user_pop,dec_user_pop
128605,50cf0fe63e0ff857e1c9d01d827267ca,c4616f5a24a66668f11ca4fa80525dc4,2000,2790,111.42857142857144,0.0,0.0,0.0,-0.0336179487179486,0.0081740695367935,6.681541279233564e-05,-0.0048025641025641,0.0081740695367935,6.681541279233638e-05,6116.066521116998,5.9292538243910204,2815.605,2003.5446950989897,0.5714285714285714,0.0,0.1428571428571428,0.6666666666666666,0.8571428571428571,40,163,71.0,0,26.722872520606725,5,391,2018-07-13 14:15:03,4.25,5,7,4,28,2018,0,28,26.75
129467,50cf0fe63e0ff857e1c9d01d827267ca,c4616f5a24a66668f11ca4fa80525dc4,3200,3672,151.57894736842104,0.0,0.0,0.0,-0.4529027777777779,0.0364586532545432,0.001329233397135,-0.0238369883040935,0.0364586532545431,0.001329233397135,6955.746018600068,5.430498142174327,3856.976,1777.7470658244538,0.5263157894736842,0.0,0.0526315789473684,0.5555555555555556,0.9473684210526316,40,163,71.0,0,26.722872520606725,5,444,2018-07-13 14:15:41,2.75,3,7,4,28,2018,0,29,27.75
129699,50cf0fe63e0ff857e1c9d01d827267ca,c4616f5a24a66668f11ca4fa80525dc4,2400,3096,130.0,0.0,0.0,0.0,0.0195544871794871,0.0134576127470479,0.0001811073408495,0.0021727207977207,0.0134576127470479,0.0001811073408495,6663.492073314264,6.058963534899539,3149.385,1838.867515276063,0.5555555555555556,0.0,0.1111111111111111,0.625,0.8888888888888888,40,163,71.0,0,26.722872520606725,5,426,2018-07-13 14:15:54,3.0,3,7,4,28,2018,0,30,28.75
127559,c74c4bf0dad9cbae3d80faa054b7d8ca,f4d0e2e7fc057a58f7ca4a391f01940a,3500,2540,274.2857142857143,0.0,0.0,0.0,-0.6931495276653171,0.2070334110213955,0.0428628332791541,-0.0394472527472527,0.2000420495589099,0.0400168215917293,6732.305366575718,9.875646589558697,2557.302,383.11595904911553,0.9285714285714286,0.0,0.0714285714285714,0.1538461538461538,0.9285714285714286,47,170,68.0,0,23.529411764705884,4,394,2018-07-13 14:16:57,3.0,3,7,4,28,2018,0,100,98.75
127857,c74c4bf0dad9cbae3d80faa054b7d8ca,f4d0e2e7fc057a58f7ca4a391f01940a,2000,2728,125.45454545454544,0.0,0.0,0.0,0.2133313953488372,0.0272497607729712,0.0007425494621841,0.0203915678524374,0.0284874131053614,0.0008115327054355,6719.218727957457,7.412065946212139,2715.0530000000003,696.2985705986073,0.5454545454545454,0.0,0.0909090909090909,0.6,0.9090909090909092,47,170,68.0,0,23.529411764705884,4,393,2018-07-13 14:17:29,3.75,4,7,4,28,2018,0,101,99.75
128110,c74c4bf0dad9cbae3d80faa054b7d8ca,f4d0e2e7fc057a58f7ca4a391f01940a,4000,2760,97.5,0.0,0.0,0.0,0.0497948717948718,0.0215618119762741,0.0004649117357001,0.0124487179487179,0.0215618119762741,0.0004649117357002,7262.556234568357,8.711835653885776,2750.291,427.13578034564455,0.75,0.0,0.25,0.6666666666666666,0.75,47,170,68.0,0,23.529411764705884,4,425,2018-07-13 14:17:38,4.0,4,7,4,28,2018,0,102,100.75
128175,c74c4bf0dad9cbae3d80faa054b7d8ca,f4d0e2e7fc057a58f7ca4a391f01940a,8000,3940,95.0,0.0,0.0,0.0,0.0045483552631579,0.0019694956016657,3.87891292498065e-06,0.0011370888157894,0.0019694956016656,3.878912924980395e-06,10101.167056016624,7.560520194180039,3930.841,512.944811557181,0.5,0.25,0.25,0.6666666666666666,0.75,47,170,68.0,0,23.529411764705884,4,591,2018-07-13 14:17:46,4.75,5,7,4,28,2018,0,103,101.75
128471,c74c4bf0dad9cbae3d80faa054b7d8ca,f4d0e2e7fc057a58f7ca4a391f01940a,4500,2865,267.85714285714283,0.0,0.0,0.0,-0.7104128888888889,0.1659365469112801,0.0275349376008394,-0.0366821904761905,0.1719579430498398,0.0295695341779319,7691.47464120388,9.91590833785618,2884.179000000001,376.13198082145874,0.9285714285714286,0.0,0.0714285714285714,0.1538461538461538,0.9285714285714286,47,170,68.0,0,23.529411764705884,4,450,2018-07-13 14:18:18,4.25,4,7,4,28,2018,0,104,102.75
128736,c74c4bf0dad9cbae3d80faa054b7d8ca,f4d0e2e7fc057a58f7ca4a391f01940a,2500,2960,132.69230769230768,0.0,0.0,0.0,0.1456511627906974,0.0383277223177861,0.0014690142980693,0.012286287625418,0.0387601954614053,0.0015023527522063,7523.305901736021,7.644988591897086,2966.5220000000004,720.4359712360008,0.5384615384615384,0.0,0.0769230769230769,0.5833333333333334,0.9230769230769232,47,170,68.0,0,23.529411764705884,4,440,2018-07-13 14:18:31,4.0,4,7,4,28,2018,0,105,103.75
128866,c74c4bf0dad9cbae3d80faa054b7d8ca,f4d0e2e7fc057a58f7ca4a391f01940a,5000,3150,97.5,0.0,0.0,0.0,0.0441266666666666,0.0191074071588306,0.0003650930083333,0.0110316666666666,0.0191074071588305,0.0003650930083333,8081.933688304387,7.764267927628794,3082.606,589.8449778674983,0.75,0.0,0.25,0.6666666666666666,0.75,47,170,68.0,0,23.529411764705884,4,473,2018-07-13 14:18:40,4.0,4,7,4,28,2018,0,106,104.75
