,trainer,rank,users,women,men,accuracy,f2,recall,precision,informedness,ndcg,dtr,dpr,dtr_ndcg,dtr_dtr,dtr_dpr,dpr_ndcg,dpr_dtr,dpr_dpr
66,9223,7.0,9,4,5,0.889,0.885,0.889,0.926,0.841,1.0,0.82,0.572,1.0,0.82,0.572,0.9230298442630148,0.756,0.616
67,9223,8.0,9,4,5,0.889,0.888,0.889,0.944,0.875,1.0,0.853,0.607,0.7300976613335703,1.022,1.195,0.7300976613335703,1.022,1.195
68,9223,9.0,9,4,5,1.0,1.0,1.0,1.0,1.0,1.0,0.807,0.598,1.0,0.807,0.598,0.6635245697470173,1.447,1.278
69,9223,10.0,9,4,5,0.889,0.868,0.889,0.806,0.708,1.0,0.84,0.587,1.0,0.84,0.587,0.8237586510803023,1.194,1.113
70,31,1.0,2,0,2,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
71,31,2.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,31,3.0,2,0,2,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
73,31,4.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,31,5.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
75,31,6.0,4,0,4,0.75,0.744,0.75,0.875,0.667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
76,31,7.0,4,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
77,31,8.0,5,1,4,1.0,1.0,1.0,1.0,1.0,1.0,0.848,0.605,1.0,0.848,0.605,0.6838336490112329,1.265,1.09
78,31,9.0,8,1,7,1.0,1.0,1.0,1.0,1.0,1.0,0.912,0.857,1.0,0.912,0.857,1.0,0.912,0.857
79,31,10.0,8,1,7,1.0,1.0,1.0,1.0,1.0,1.0,0.886,0.857,1.0,0.886,0.857,1.0,0.886,0.857
80,2155,1.0,2,0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,2155,2.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
82,2155,3.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
83,2155,4.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
84,2155,5.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
85,2155,6.0,3,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
86,2155,7.0,4,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
87,2155,8.0,4,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
88,2155,9.0,4,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
89,2155,10.0,4,0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,5201,1.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
91,5201,2.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
92,5201,3.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
93,5201,4.0,1,1,0,1.0,1.0,1.0,1.0,0.0,,1.0,1.0,,1.0,1.0,,1.0,1.0
